project,archive_ident,title,Acronyms,Acronyms_number
BEST,102.165,PSEA-10-01 Under-Ice CTD Data (Gradinger),CTD || PAR || SEABIRD || ,3
BEST,102.1660,Zooplankton Abundance and Species Composition (ASCII),BEST || USCG || ARC-0722448 || NSF || ,4
BEST,102.179,KN195-10 Physiological and Biochemical Characteristics of Krill,UNOLS || ,1
BEST,102.185,TN249 Raw ADCP Data [Ashjian/UW],ADCP || UNOLS || BEST || TN249 || ,4
BEST,102.189,TN249 Sound Velocity Data [Ashjian/UW],UNOLS || BEST || TN249 || ,3
BEST,102.191,TN250 Raw ADCP Data [Shull/UW],ADCP || UNOLS || BEST || TN250 || ,4
BEST,102.190,TN249 Multibeam Data [Ashjian/UW],UNOLS || BEST || TN249 || EM300 || ,4
BEST,102.193,TN250 Multibeam Data [Shull/UW],UNOLS || BEST || TN250 || EM300 || ,4
BEST,102.059,"HLY-08-03 CTD Data [Stabeno, P.]","CTD || US || HL0803 || NSF || BEST || NOAA/PMEL || EcoFOCI || SCRIPPS || NOAA/PMEL/EcoFOCI || 
<p>CTD || ",10
BEST,102.135,KN195-10 Raw ADCP Data [Sambrotto/WHOI],ADCP || UNOLS || BEST || ,3
BEST,102.058,HLY-08-02 CTD and Nutrient Data,"CTD || US || HL0802 || NSF || BEST || NOAA/PMEL || FOCI || SCRIPPS || NOAA/PMEL/EcoFOCI || 
<p>CTD || netCDF || ASCII || ",12
BEST,102.142,HLY-09-02 CTD and Nutrient Data,CTD || US || HI0902 || NSF || BEST || NOAA/PMEL || EcoFOCI || SCRIPPS || NOAA/PMEL/EcoFOCI || netCDF || ASCII || ,11
BEST,102.162,BEST 2008-2009 Bottom-Anchored Moorings,UAF || UW || UAF-UW || BEST || US || NOAA || ,6
BEST,102.194,2009-2010 Bottom-Anchored Moorings,UAF || UW || ,2
BEST,102.195,Polar Sea 10-01 CTD and Nutrient Data,"CTD || US || NSF || BEST || NOAA/PMEL || EcoFOCI || SCRIPPS || NOAA/PMEL/EcoFOCI || NetCDF || netCDF || ASCII || 
<p>CTD || ",12
BEST,102.197,TN250-10 CTD and Nutrient Data,"CTD || TN250 || NSF || BEST || NOAA/PMEL || EcoFOCI || NOAA/PMEL/EcoFOCI || NetCDF || netCDF || ASCII || 
<p>CTD || ",11
BEST,102.134,KN195-10 CTD Data [Sambrotto/WHOI],CTD || UNOLS || BEST || ASCII || ,4
BEST,102.186,TN249 DAS/IMET Data [Ashjian/UW],DAS/IMET || UNOLS || BEST || TN249 || SBE-21 || GMT || TN249DAS || CFG || ,8
BEST,102.187,TN249 Bridge Logs [Ashjian/UW],UNOLS || BEST || TN249 || PDF || ,4
BEST,102.188,TN249 Navigation Data [Ashjian/UW],UNOLS || BEST || TN249 || ASCII || ,4
BEST,102.199,KN195-10 PAR Data [Sambrotto/LDEO],PAR || UNOLS || BEST || GMT || ,4
BEST,102.016,HLY-07-01 CTD Data and Nutrient Data,"CTD || US || HI0701 || NSF || BEST || NOAA/PMEL || EcoFOCI || SCRIPPS || NOAA/PMEL/EcoFOCI || 
<p>CTD || netCDF || ASCII || ",12
BEST,102.113,HLY-09-02 DMSP Satellite Images [Ashjian/LDEO],DMSP || BEST || IR || ,3
BEST,102.102,"HLY-09-01 SCS Underway Sensor Data [Cooper, L./LDEO]",SCS || BEST || ,2
BEST,102.192,TN250 DAS/IMET Data [Shull/UW],DAS/IMET || UNOLS || BEST || TN250 || SBE-21 || GMT || TN250DAS || CFG || ,8
BEST,102.200,HLY-06-01 Raw 75 KHz ADCP Data [Grebmeier/LDEO],"KHz || </em>ADCP || HLY0601 || BEST || />
ENR || />
ENS || />
ENX || />
STA || />
LTA || NMEA || ASCII || />
NMS || ",12
BEST,102.049,HLY-08-02 SCS Underway Sensor Data [Ashjian/LDEO],SCS || US || BEST || ,3
BEST,102.052,HLY-08-02 TeraScan Raw Satellite Data [Ashjian/LDEO],DMSP || NOAA-17 || NOAA-18 || POES || BEST || ,5
BEST,102.067,HLY-08-03 Raw Knudsen 320B/R Depth Sounder Data [Sambrotto/LDEO],US || BEST || ASCII || SEG-Y || ,4
BEST,102.071,HLY-08-03 SCS Underway Sensor Data [Sambrotto/LDEO],SCS || US || BEST || ,3
BEST,102.074,HLY-08-03 POSMV and Navigation Data [Sambrotto/LDEO],POSMV || US || BEST || GPS || AGGPS || BGM221 || BGM222 || MK27 || MK39 || SIO || TSG || ,11
BEST,102.101,"HLY-09-01 Raw Seabeam Data [Cooper, L./LDEO]",BEST || MB-System || ,2
BEST,102.103,"HLY-09-01 POSMV and Navigation Data [Cooper, L./LDEO]",POSMV || BEST || GPS || AGGPS || BGM221 || BGM222 || IBS || MK27 || MK39 || SIO || TSG || ,11
BEST,102.112,HLY-09-02 SCS Underway Sensor Data [Ashjian/LDEO],SCS || BEST || ,2
BEST,102.120,HLY-09-02 Raw Knudsen 320B/R Depth Sounder Data [Ashjian/LDEO],BEST || ASCII || SEG-Y || ,3
BEST,102.121,HLY-09-02 POSMV and Navigation Data [Ashjian/LDEO],POSMV || BEST || GPS || AGGPS || BGM221 || BGM222 || IBS || MK27 || MK39 || SIO || TSG || ,11
BEST,102.122,HLY-09-02 TeraScan Raw DMSP Satellite Data [Ashjian/LDEO],DMSP || BEST || ,2
BEST,102.123,HLY-09-02 TeraScan Raw HRPT Satellite Data [Ashjian/LDEO],HRPT || NOAA-15 || NOAA-17 || NOAA-18 || NOAA-19 || POES || BEST || ,7
BEST,102.124,HLY-09-02 Raw Seabeam Data [Ashjian/LDEO],BEST || MB-System || ,2
BEST,102.133,KN195-10 Raw Seabeam Data [Sambrotto/WHOI],UNOLS || BEST || MB-System || ,3
BEST,102.147,HLY-06-01 Raw Knudsen 320B/R Depth Sounder Data [Grebmeier/LDEO],HLY0601 || ASCII || SEG-Y || BEST || ,4
BEST,102.148,HLY-06-01 Raw Seabeam Data [Grebmeier/LDEO],HLY0601 || MB-System || BEST || ,3
BEST,102.151,HLY-06-01 SCS Underway Sensor Data [Grebmeier/LDEO],SCS || HLY0601 || BEST || ,3
BEST,102.168,"PSEA-10-01 Raw Knudsen 320B/R Depth Sounder Data [Cooper, L./USCG-ESU]",BEST || SEG-Y || ,2
BEST,102.169,"PSEA-10-01 SCS Underway Sensor Data [Cooper, L./USCG-ESU]",SCS || BEST || ,2
BEST,102.183,UAF Moored Acoustic Doppler Current Profiler (ADCP) Data,BEST || ADCP || NSF || ARC-0732771 || ,4
BEST,102.209,HLY-08-02 Sensor Calibration Data [Ashjian/LDEO],BEST || ,1
BEST,102.210,HLY-08-03 Sensor Calibration Data [Sambrotto/LDEO],BEST || ,1
BEST,102.211,"HLY-09-01 Sensor Calibration Data [Cooper, L./LDEO]",BEST || ,1
BEST,102.212,USCGC Healy HLY-07-02 Ship Log - Navigation Information [US Coast Guard],HLY0702 || BEST || ,2
BEST,102.201,HLY-06-01 Raw 150 KHz ADCP Data [Grebmeier/LDEO],"KHz || ADCP || HLY0601 || BEST || />
ENR || />
ENS || />
ENX || />
STA || />
LTA || NMEA || ASCII || />
NMS || ",12
BEST,102.202,HLY-06-01 Elog Event Data [Grebmeier/LDEO],HLY0601 || BEST || ,2
BEST,102.204,HLY-09-02 Sensor Calibration Data [Ashjian/LDEO],BEST || ,1
BEST,102.205,HLY-06-01 Sensor Calibration Data [Grebmeier/LDEO],HLY0601 || BEST || ,2
BEST,102.206,HLY-07-01 Sensor Calibration Data [Sambrotto/LDEO],BEST || ,1
BEST,102.207,HLY-07-02 Sensor Calibration Data [Grebmeier/LDEO],HLY0702 || BEST || ,2
BEST,102.208,"HLY-08-01 Sensor Calibration Data [Cooper, L./LDEO]",BEST || ,1
BEST,102.213,USCGC Healy HLY-07-02 Ship Log - Weather Information [US Coast Guard],HLY0702 || BEST || ,2
BEST,102.215,HLY-07-02 SCS Underway Sensor Data [Grebmeier/LDEO],SCS || HLY0702 || BEST || ,3
BEST,102.149,HLY-06-01 POSMV and Navigation Data [Grebmeier/LDEO],POSMV || HLY0601 || GPS || TSG || BEST || ,5
BEST,102.214,HLY-07-02 POSMV and Navigation Data [Grebmeier/LDEO],POSMV || HLY0702 || GPS || TSG || PAR || BEST || ,6
BEST,102.216,HLY-08-02 Turbidity/Transmissometer Data [Ashjian/LDEO],BEST || HLY0802 || ,2
BEST,102.217,HLY-06-01 Forward Thermosalinograph Data [Grebmeier/LDEO],HLY0601 || BEST || ,2
BEST,102.218,HLY-06-01 Aft Thermosalinograph Data [Grebmeier/LDEO],HLY0601 || BEST || ,2
BEST,102.057,HLY-08-02 Elog Event Data [Ashjian/LDEO],US || BEST || ,2
BEST,102.056,"HLY-08-01 Elog Event Data [Cooper, L./LDEO]",US || BEST || ,2
BEST,102.077,HLY-08-03 Elog Event Data [Sambrotto/LDEO],US || BEST || ,2
BEST,102.196,TN249-10 CTD and Nutrient Data,"CTD || TN249 || NSF || BEST || NOAA/PMEL || EcoFOCI || NOAA/PMEL/EcoFOCI || NetCDF || netCDF || ASCII || 
<p>CTD || ",11
BEST,102.028,"HLY-08-01 SCS Underway Sensor Data [Cooper, L./LDEO]",SCS || US || BEST || ,3
BEST,102.041,"HLY-08-01 POSMV and Navigation Data [Cooper, L./LDEO]",POSMV || US || BEST || GPS || AGGPS || BGM221 || BGM222 || MK27 || MK30 || SIO || TSG || ,11
BEST,102.009,HLY-07-01 SCS Underway Sensor Data [Sambrotto/LDEO],SCS || US || BEST || README || ,4
BEST,102.198,Knorr 195-10 2009 CTD and Nutrient Data,"CTD || UNOLS || NSF || BEST || NOAA/PMEL || EcoFOCI || NOAA/PMEL/EcoFOCI || 
<p>CTD || netCDF || ASCII || ",10
BEST,102.010,HLY-07-01 Raw Knudsen 320B/R Depth Sounder Data [Sambrotto/LDEO],US || BEST || ASCII || SEG-Y || ,4
BEST,102.011,HLY-07-01 POSMV and Navigation Data [Sambrotto/LDEO],POSMV || US || BEST || GPS || TSG || ASCII || HEX || PAR || ,8
BEST,102.004,HLY-07-01 Raw Seabeam Data [Sambrotto/LDEO],US || BEST || MB-System || ,3
BEST,102.003,HLY-07-01 TeraScan Raw Satellite Data [Sambrotto/LDEO],DMSP || NOAA-12 || NOAA-14 || NOAA-17 || NOAA-18 || POES || FY1-D || CMA || BEST || ,9
BEST,102.045,HLY-08-02 POSMV and Navigation Data [Ashjian/LDEO],POSMV || US || BEST || GPS || AGGPS || BGM221 || BGM222 || MK27 || MK39 || SIO || TSG || ,11
BEST,102.220,HLY-07-02 Elog Event Data [Grebmeier/LDEO],HLY0702 || BEST || ,2
BEST,102.221,HLY-07-02 Forward Thermosalinograph Data [Grebmeier/LDEO],HLY0702 || BEST || ,2
BEST,102.222,"HLY-09-01 Environmental Sensors Data [Cooper, L./LDEO]",BEST || ,1
BEST,102.223,HLY-09-02 Environmental Sensors Data [Ashjian/LDEO],BEST || ,1
BEST,102.225,HLY-09-02 Sea Ice Movie [Ashjian/LDEO],BEST || ,1
BEST,102.224,HLY-08-02 Sea Ice Movie [Ashjian/LDEO],BEST || ,1
BEST,102.226,"HLY-09-01 Sea Ice Movie [Cooper, L./LDEO]",BEST || ,1
BEST,102.227,HLY-09-02 XBT Data [Ashjian/LDEO],XBT || BEST || ASCII || ,3
BEST,102.219,HLY-06-01 XBT Data [Grebmeier/LDEO],XBT || HLY0601 || ASCII || BEST || ,4
BEST,102.228,TN250 Sound Velocity Data [Shull/UW],UNOLS || BEST || TN250 || ,3
BEST,102.229,HLY-07-01 Elog Event Data [Sambrotto/LDEO],BEST || ,1
BEST,102.230,HLY-09-02 Thorium-234 and Uranium-238 Distributions in the Eastern Bering Sea,HLY0902 || BEST-BSIERP || USCGC || HEALY || WAGB-20 || ,5
BEST,102.232,TN-249 Thorium-234 and Uranium-238 Distributions in the Eastern Bering Sea,TN249 || BEST-BSIERP || ,2
BEST,102.233,TN-250 Thorium-234 and Uranium-238 Distributions in the Eastern Bering Sea,TN250 || BEST- || BSIERP || ,3
BEST,102.231,KN-195-10 Thorium-234 and Uranium-238 Distributions in the Eastern Bering Sea,KN19510 || BEST-BSIERP || ,2
BEST,102.235,"KN-195-10 Sediment Trap Fluxes of Th-234, POC, and PON in the Bering Sea",KN19510 || BEST-BSIERP || POC || PON || ,4
BEST,102.236,"TN-249 Sediment Trap Fluxes of Th-234, POC, and PON in the Bering Sea",TN249 || BEST-BSIERP || POC || PON || ,4
BEST,102.237,"TN-250 Sediment Trap Fluxes of Th-234, POC, and PON in the Bering Sea",TN250 || BEST-BSIERP || POC || PON || ,4
BEST,102.234,"HLY-09-02 Sediment Trap Fluxes of Th-234, POC, and PON in the Bering Sea",HLY0902 || BEST-BSIERP || USCGC || HEALY || WAGB-20 || POC || PON || ,7
BEST,102.137,"HLY-08-02, HLY-08-03 and KN195-10 Zooplankton Distribution in the Eastern Bering Sea Shelf[Coyle](Excel)",BEST || PH || KH || SH || AW || ,5
BEST,102.138,"HLY-08-02, HLY-08-03 and KN195-10 Zooplankton Distribution in the Eastern Bering Sea Shelf[Coyle](ASCII)",BEST || PH || KH || SH || AW || ,5
BEST,102.239,HLY-07-01 ARGOS Drogued Drifter Data,USCGC || BEST || EcoFOCI || ,3
BEST,102.240,Mesozooplankton population and biomass in the eastern Bering Sea - MOCNESS data - Preliminary,BEST || MOCNESS || HLY-08-02 || HLY-08-03 || HLY-09-02 || KN195-10 || TN249 || TN250 || ,8
BEST,102.241,Mesozooplankton population and biomass in the eastern Bering Sea - CalVET data - Preliminary,BEST || CalVET || HLY-08-02 || HLY-08-03 || HLY-09-02 || KN195-10 || TN249 || TN250 || ,8
BEST,102.242,Sediment pore-water dissolved oxygen,BEST-BSIERP || HLY0701 || HLY0802 || HLY0803 || HLY0902 || KN195-10 || TN249 || TN250 || UNOLS || ,9
BEST,102.238,KN195-10 Processed Seabeam Data [Sambrotto/LDEO],UNOLS || BEST || MB-System || ,3
BEST,102.243,TN249 Calanus glacialis/marshalle egg production rates,,0
BEST,102.252,Bacterioplankton abundances during long spring BEST cruises,CTD || BEST || HLY0802 || HLY0902 || TN249 || ,5
BEST,102.247,PS0909 CTD Data,BEST || NSF || ARC-0732771 || CTD || ,4
BEST,102.248,PS1012 CTD Data,BEST || NSF || ARC-0732771 || CTD || ,4
BEST,102.245,Sediment pore-water nutrient concentrations in the Bering Sea,BEST-BSIERP || MC-800 || ,2
BEST,102.246,Moored temperature and salinity records in the eastern Bering Sea,BEST || SBE16 || SBE37 || NSF || ARC-0732771 || ,5
BEST,102.249,HLY-08-02 Nitrate N and O natural abundance stable isotope ratios,,0
BEST,102.253,Satellite-derived polynya areas in the northern Bering Sea,EOS || AMSR-E || ,2
BEST,102.254,HLY-07-02 Profiles of photosynthetically active radiation (PAR),PAR || HLY0702 || USCGC || PUV-510 || ,4
BEST,102.250,PSea-10-01 Shipboard bottle chlorophyll data,10AU || GFF || ,2
BEST,102.203,TN249 Microzooplankton Biomass and Composition,TN249 || BEST || ,2
BEST,102.251,HLY-09-02 Microzooplankton spring 2009 bloom data,,0
BEST,102.244,TN249 Mesozooplankton grazing and predation rates,BEST || TN249 || ,2
BEST,102.126,HLY-08-02 Mesozooplankton Grazing and Predation Rates,BEST || USCGC || HLY0802 || ,3
BEST,102.180,HLY09-02 Calanus spp. Egg Production Rates,HLY09-02 || ,1
BEST,102.181,HLY09-02 Mesozooplankton Grazing and Predation Rates,BEST || USCGC || HLY0902 || ,3
BEST,102.255,Sediment Oxygen Flux Data in the Bering Sea Shelf,BEST || ,1
BEST,102.256,Bacterioplankton abundances during long spring BEST cruises,CTD || BEST || HLY0802 || HLY0902 || TN249 || ,5
BEST,102.257,55m Isobath Moored Thermistor Chain Time Series,BEST || NSF || ARC-0732771 || ,3
BEST,102.258,Nitrogen and carbon uptake rates (on-deck) and particulate carbon and nitrogen data,HLY0701 || HLY0802 || HLY0803 || HLY0902 || KN195-10 || PDF || NO3 || NH4 || UNOLS || ,9
BEST,102.259,PSEA-10-01 Nitrate and carbon uptake rates (in-situ) and particulate carbon and nitrogen data,PDF || NO3 || ,2
BEST,102.260,Particulate nitrogen and particulate organic carbon,HLY0701 || HLY0802 || PN || POC || GFF || ,5
BEST,102.261,HLY-09-01 Nutrient and oxygen isotope bottle data,NOAA || V-SMOW || SMOW-SLAP || ,3
BEST,102.262,Particulate Nutrient Concentrations,HLY0903 || KN195 || TN249 || TN250 || POC || PON || POP || UNOLS || ,8
BEST,102.263,Sediment Trap Pigment and Biogenic Silica Fluxes,BEST || HLY0802 || HLY0803 || HLY0902 || KN195-10 || TN249 || TN250 || UNOLS || ,8
BEST,102.264,Water column phytoplankton pigment concentrations,BEST || HLY0802 || HLY0803 || HLY0902 || KN195-10 || TN249 || TN250 || UNOLS || ,8
BEST,102.265,BEST-NPZ Lower trophic level model output,"BEST-NPZ || CORE2 || CFSR || 
<p>BEST-NPZ_40m_run1: || />
BEST-NPZ_100m_run1: || />
BEST-NPZ_production_run1: || ",6
BEST,102.266,BEST Nelson Island History Presentation at 2009 PI Meeting,,0
BEST,102.267,Particulate Organic Carbon and Nitrogen Concentrations and Stable Isotopes in Bering Sea Ice,BEST || HLY0801 || HLY0802 || HLY0901 || HLY0902 || PESA10-01 || ,6
BEST,102.268,"Sediment trap data of vertical flux of algal pigments, POC and PON",,0
BEST,102.269,HLY-08-02 Particulate Organic Matter (POM) Isotopes,POM || CTD || HLY0802 || ,3
BEST,102.270,HLY-08-02 Benthos Isotopes,HLY0802 || ,1
BEST,102.271,HLY-08-02 Plankton Isotopes,HLY0802 || ,1
BEST,102.273,BEST Ice Chlorophyll (chl) 2009,BEST || HLY0901 || HLY0902 || ,3
BEST,102.274,PSEA-10-01 Ice Chlorophyll (chl),PSEA10-01 || ,1
BEST,102.272,BEST Ice Chlorophyll (chl) 2008,BEST || HLY0801 || HLY0802 || ,3
BEST,102.275,PSEA-10-01 Zooplankton abundance,PSEA1001 || ,1
BEST,102.276,"HLY-09-02 and TN249 Comparison of heterotrophic microbial biomass: bacteria, microflagellates, and microzooplankton protists during spring",BEST || DAPI || HLY || TN || ,4
BEST,102.277,PSEA-10-01 GenBank accession numbers for water column phytoplankton and ice algae 18S sequences,BEST || PSEA1001 || OTU || WC || ,4
BEST,102.278,Pelagic distribution and abundance of seabirds in the PROBES area,PROBES || USGS || ,2
BEST,102.279,PROBES Meso-Zooplankton from 1980 and 1981,PROBES || MOCNESS || ,2
BEST,102.280,"Monthly mean reanalysis of Arctic sea ice thickness, concentration, and velocity",PIOMAS || ,1
BEST,102.281,"PSEA-10-01, TN249-10 GenBank accession numbers for Pseudocalanus spp. mtCOI sequences",mtCOI || BEST || PSEA-10-01 || TN249 || KF836981-KF837126 || ID || ,6
BEST,102.282,Zooplankton Abundance and Biomass Retrospective,,0
BOREAS,234.001,"Low Rate Navigation, State Parameter, and Microphysics Flight-Level Data [NCAR/EOL]",NCAR || RAF || BOReal || BOREAS || NetCDF || ,5
BOREAS,234.003,Raw Airborne Data System (ADS) Data,NCAR || RAF || BOReal || BOREAS || ADS || ,5
BOREAS,234.002,"High Rate Navigation, State Parameter, and Microphysics Flight-Level Data [NCAR/EOL]",NCAR || RAF || BOReal || BOREAS || NetCDF || ,5
BOREAS,234.004,BOREAS: PAM-II Data [CMF],PAM || BOReal || BOREAS || ,3
BOREAS,413.001,BOREAS-91: PAM-II Data [CMF],PAM-II || CA || ,2
BSIERP,245.B56-001,Carbon export in the Eastern Bering Sea water column: Radionuclides (B56),POC || MIZ || ,2
BSIERP,245.B56-002,Carbon export in the Eastern Bering Sea water column: TrapFlux (B56),POC || MIZ || ,2
BSIERP,245.B57-001,Epibenthos Survey of the Bering Sea (B57),NPRB || GDB || ,2
BSIERP,245.B59-001,"Surface Trawl Survey Acoustics, 2008 (B59)",BASIS || RV || ,2
BSIERP,245.B59-002,"Surface Trawl Survey Acoustics, 2009 (B59)",BASIS || RV || FV || ,3
BSIERP,245.B61-001,Functional Foraging Response (B61),FEAST || ,1
BSIERP,245.B62-001,"Underway Seawater Sampling Aboard F/V Aldebaran in Winter &amp; Summer 2008, Forage Distribution and Ocean Conditions (B62)",NOAA || PMEL || EcoFOCI || ,3
BSIERP,245.B62-003,Depth-integrated euphausiid (Family Euphausiidae) backscatter in June and July 2008,,0
BSIERP,245.B62-004,Depth-integrated midwater pollock biomass in June and July 2008,,0
BSIERP,245.B63-001,Seabird Telemetry (B63),,0
BSIERP,245.B64-001,"Seabird Broad-Scale Distribution, 2008 (B64)",,0
BSIERP,245.B65-001,Seabird Colony-based Studies 04.37 2008 (B65),,0
BSIERP,245.B65-002,Seabird Colony-based Studies 04.37 2009 (B65),,0
BSIERP,245.B66-001,Whale broad-scale distribution southeastern Bering Sea 2008 (B66),AFSC || NOAA || FEAST || ,3
BSIERP,245.B67-001,"Acoustic scattering from fish and euphausiids, Patch Dynamics (B67)",,0
BSIERP,245.B67-002,"CTD casts, Patch Dynamics (B67)",,0
BSIERP,245.B67-003,Pacific walrus foraging and haulout behavior 2008 (B67),USGS || ,1
BSIERP,245.B67-004,Seasonal Variability in Fatty Acid and Lipid Content in the Blubber of Pacific Walruses 2008,,0
BSIERP,245.B67-005,"Seabird Diving, Stress and Stable Isotopes, Pribilof and Bogoslof Islands, Patch Dynamics (B67 and B77)",USFWS || NOTE: || PI || ,3
BSIERP,245.B67-006,"Northern Fur Seal foraging, 2008, Patch Dynamics (B67)",MCAB || GPS || ,2
BSIERP,245.B68-001,"Retrospective data on Fish, Birds, Mammals (B68)",,0
BSIERP,245.B52-001,Long-term observations on the Bering Sea shelf: ADCP data from mooring site 2,,0
BSIERP,245.B52-002,Long-term observations on the Bering Sea shelf: biophysical mooring data from site 2,,0
BSIERP,245.B52-003,Long-term observations on the Bering Sea shelf: ADCP data from mooring site 4,,0
BSIERP,245.B52-004,Long-term observations on the Bering Sea shelf: biophysical mooring data from site 4,,0
BSIERP,245.B52-005,Long-term observations on the Bering Sea shelf: Sediment Trap Flux data from mooring site 2,,0
BSIERP,245.B52-006,Long-term observations on the Bering Sea shelf: ADCP data from mooring site 5,NOAA || NPRB || NPCREP || OCH || TAPS-8 || PAR || ,6
BSIERP,245.B52-007,Long-term observations on the Bering Sea shelf: biophysical mooring data from mooring site 5,NOAA || NPRB || NPCREP || OCH || TAPS-8 || PAR || ,6
BSIERP,245.B52-008,Long-term observations on the Bering Sea shelf: Sediment mooring data from mooring site 5,NOAA || NPRB || NPCREP || OCH || TAPS-8 || PAR || ,6
BSIERP,245.B52-009,Long-term observations on the Bering Sea shelf: ADCP data from mooring site 8,NOAA || NPRB || NPCREP || OCH || TAPS-8 || PAR || ,6
BSIERP,245.B52-010,Long-term observations on the Bering Sea shelf: biophysical mooring data from mooring site 8,NOAA || NPRB || NPCREP || OCH || TAPS-8 || PAR || ,6
BSIERP,245.B52-011,Long-term observations on the Bering Sea shelf: Sediment mooring data from mooring site 8,NOAA || NPRB || NPCREP || OCH || TAPS-8 || PAR || ,6
BSIERP,245.B54-001,"Seasonal bioenergetics of pollock, Pacific cod, and flounder in the Bering Sea (B54)",YOY || ATF || RNA || DNA || ,4
BSIERP,245.B55-001,"Estimation of Micro-zooplankton (MZ) Abundance and Biomass, Summer 2008 (B55)",MZ || ,1
BSIERP,245.B55-002,Summer Microzooplankton in the Bering Sea,MZ || HLY0803 || SE || ,3
BSIERP,245.B53-003,"Ichthyoplankton Surveys, 2008-2010 (B53)",EBS || ATF || ,2
BSIERP,245.B59-003,"BASIS survey acoustics, 2008-2010 (B59)",BASIS || RV || FV || ,3
BSIERP,245.B64-002,"Seabird Broad-Scale Distribution, 2010 (B64)",BSIERP || NOAA || NSF || USFWS || BOEMRE || NPPSD || ,6
BSIERP,245.B55-003,"Estimation of Micro-zooplankton (MZ) Abundance and Biomass, Summer 2010 (B55)",MZ || ,1
BSIERP,245.B62-005,"Depth-integrated euphausiid (Family Euphausiidae) backscatter in June, July, and August 2010 (B62)",MACE || RACE || NOAA-NMFS || AFSC || ,4
BSIERP,245.B62-006,"Depth-integrated midwater pollock biomass in June, July, and August 2010 (B62)",MACE || RACE || NOAA-NMFS || AFSC || ,4
BSIERP,245.B66-002,Whale broad-scale distribution southeastern Bering Sea 2010 (B66),AFSC || NOAA || ,2
BSIERP,245.B69-001,Akutan Field Report for the Local and Traditional Knowledge component of the Bering Sea Integrated Ecosystem Research Program (B69),LTK || BSIERP || ,2
BSIERP,245.B69-002,Emmonak Field Report for the Local and Traditional Knowledge component of the Bering Sea Integrated Ecosystem Research Program (B69),BSIERP || ,1
BSIERP,245.B69-003,"2008 Comprehensive Subsistence Harvest Survey, Emmonak, Togiak, and Akutan, Alaska",,0
BSIERP,245.B69-004,"2009 Comprehensive Subsistence Harvest Survey, Savoonga, Alaska",,0
BSIERP,245.B69-005,"Bering Sea Project, Subsistence Harvest Monitoring Results for St. Paul Island, Alaska from 1999 to 2009.",,0
BSIERP,245.B69-006,"Bering Sea Integrated Ecosystem Research Project, Local and Traditional Knowledge Component, St. Paul Island",BSIERP || ,1
BSIERP,245.B65-003,Seabird Colony-based Studies 04.37 2010 (B65),,0
BSIERP,245.B99-001,Marine Regions Boundary Data for the Bering Sea Shelf and Slope,,0
BSIERP,245.B53-004,Seacat Data Profiles (B53),SeaCAT || SBE || ,2
BSIERP,245.B62-007,"Underway Seawater Sampling Aboard F/V Aldebaran in Winter and Summer 2009, Forage Distribution and Ocean Conditions (B62)",NOAA || ,1
BSIERP,245.B62-008,"Underway Seawater Sampling Aboard F/V Aldebaran in Winter and Summer 2010, Forage Distribution and Ocean Conditions (B62)",NOAA || ,1
BSIERP,245.B61-002,"Functional Foraging Response, 2008-2010 (B61)",,0
BSIERP,245.B62-009,"Underway Seawater Sampling Aboard NOAA ship Oscar Dyson in 2008, Forage Distribution and Ocean Conditions (B62)",NOAA || ,1
BSIERP,245.B69-007,Togiak Field Report for the Local and Traditional Knowledge component of the Bering Sea Integrated Ecosystem Research Program (B69),BSIERP || LTK || ,2
BSIERP,245.B63-002,Foraging locations of black-legged kittiwakes at the Pribilof Islands 2008-10,GPS || BAS || ,2
BSIERP,245.B63-003,"Dive locations and parameters of Thick-billed murres at the Pribilof Islands, 2008-2010",GPS || LOTEK || ,2
BSIERP,245.B62-010,"Underway Seawater Sampling Aboard NOAA ship Oscar Dyson in 2009, Forage Distribution and Ocean Conditions (B62)",NOAA || ,1
BSIERP,245.B62-011,"Underway Seawater Sampling Aboard NOAA ship Oscar Dyson in 2010, Forage Distribution and Ocean Conditions (B62)",NOAA || ,1
BSIERP,245.B62-012,"Bottom Trawl Survey CTD data in 2008, Forage Distribution and Ocean Conditions (B62)",CTD || NOAA/AFSC || NetCDF || ,3
BSIERP,245.B62-013,"Bottom Trawl Survey CTD data in 2009, Forage Distribution and Ocean Conditions (B62)",CTD || NOAA/AFSC || NetCDF || ,3
BSIERP,245.B62-014,"Bottom Trawl Survey CTD data in 2010, Forage Distribution and Ocean Conditions (B62)",CTD || NOAA/AFSC || NetCDF || ,3
BSIERP,245.B62-015,"Depth-integrated euphausiid (Family Euphausiidae) backscatter in June, July, and August 2009 (B62)",MACE || RACE || NOAA-NMFS || AFSC || ,4
BSIERP,245.B62-016,"Depth-integrated midwater pollock biomass in June, July, and August 2009 (B62)",MACE || RACE || NOAA-NMFS || AFSC || ,4
BSIERP,245.B74-001,Development and analysis of life-history models to predict the evolution of reaction norms in early development of seabirds and their consequences on individual and population dynamics in the face of climate change (B74),,0
BSIERP,245.B92-001,Top Predator Hotspot Persistence,,0
ITEX,56.800,"Summary Files From Boulder Workshop, Richness Summary Results",,0
ITEX,56.801,"Summary Files From Boulder Workshop, Richness Graph",,0
ITEX,56.802,"Summary Files From Boulder Workshop, Richness Data",,0
ITEX,56.803,"Summary Files From Boulder Workshop, Richness Categorical Results",,0
